Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Average
Biscayne National Park,"2,02,938",0,0,0,0,0,0,0,0,0,"81,157","1,27,790","1,59,172","2,12,682","2,34,830","2,94,307","3,65,463","4,24,920","4,62,553","4,74,895","5,03,110","3,025","3,525","2,775","2,425","2,710","2,428","1,265",796,"1,019","1,054","2,642","1,890","2,642","2,642","2,636","2,642","2,642","2,642","2,642","2,642","35,90,501",87573.19512
Black Canyon of the Gunnison National Park,"2,34,286","37,317","43,176","41,128","46,748","37,695","34,603","39,388","32,694","43,351","50,031","43,820","54,065","64,177","62,198","65,671","64,125","50,235","51,708","64,968","62,302","2,62,320","3,28,927","3,27,747","3,12,384","3,57,723","3,98,583","2,98,717","3,64,856","3,62,512","3,63,905","3,72,330","3,61,862","2,92,055","3,16,953","3,14,102","3,81,747","3,88,290","4,40,276","4,40,091","4,63,832","83,72,898",204217.0244
Blue Ridge PKWY,"1,17,00,219",0,0,0,0,0,0,0,0,"6,13,011","7,30,183","7,94,539","8,60,017","7,52,203","7,37,947","8,00,460","8,92,328","8,55,882","8,58,388","8,56,480","8,60,224","5,05,062","4,09,771","4,49,481","4,00,902","3,85,194","7,68,687","8,25,857","8,22,864","8,13,790","8,12,207","6,65,523","9,41,393","8,82,570","10,07,788","11,92,856","11,12,290","11,02,148","9,22,883","7,94,350","10,07,471","3,71,34,968",905730.9268
Booker T. Washington NM,"25,507",0,"22,763","43,824","33,355","81,548","77,664","66,669","62,460","71,765","1,02,174","77,930","64,076","72,269","82,854","1,27,313","1,15,466","1,11,626","77,633","60,087","60,193","40,470","56,619","61,142","56,146","60,128","54,934","55,049","55,415","54,818","49,822","44,771","36,290","35,207","38,092","36,987","39,549","41,795","36,717","56,943","45,861","23,93,931",58388.56098
Boston NHP,"17,77,391","3,22,728","3,41,157","3,91,017","3,73,150","3,79,625","4,56,020","4,55,228","4,52,103","4,41,172","4,55,401","4,63,311","4,81,098","4,59,660","3,97,336","4,10,594","3,78,180","3,01,533","1,90,509","2,79,637","2,34,013","8,64,200","9,16,548","8,52,873","7,52,140","6,96,114","6,99,230","6,22,807","6,26,751","6,75,928","6,86,747","6,56,374","6,06,579","6,00,161","5,65,063","5,99,906","6,43,135","6,84,715","7,61,200","7,60,906","7,50,494","2,34,62,734",572261.8049
Bryce Canyon National Park,"5,58,095","2,48,071","3,05,502","3,48,219","3,69,082","3,40,567","4,60,921","5,78,013","6,07,968","5,31,036","5,89,957","5,73,376","4,88,134","3,07,512","19,950","25,147","5,84,519","3,38,603","3,92,069","4,03,239","4,42,585","62,009","98,526","1,01,830","1,01,580","1,07,782","92,383","91,126","95,285","93,634","1,00,509","1,40,489","1,37,722","1,35,262","1,20,108","1,09,956","1,25,832","1,92,809","1,70,649","2,21,514","2,55,926","1,10,67,496",269938.9268
Buck Island Reef NM,"82,390","3,36,119","2,66,604","2,27,428","2,91,618","2,53,048","2,66,012","2,89,117","2,85,439","2,69,073","2,88,586","2,75,323","3,16,336","3,37,209","3,19,322","2,14,194","2,21,113","2,00,125","2,09,863","1,93,451","2,00,142","2,38,049","2,41,388","1,67,792","2,28,701","1,49,011","1,94,519","1,77,414","2,13,063","1,78,533","2,05,293","2,58,637","2,01,010","2,45,831","2,41,527","2,24,083","2,45,173","2,59,485","2,31,836","2,35,570","2,49,659","97,29,086",237294.7805
Buffalo NR,"6,75,832","1,34,15,014","1,36,25,753","1,43,60,184","1,52,08,455","1,51,35,991","1,71,93,408","1,70,76,150","1,86,04,627","2,00,02,975","1,61,76,171","1,68,54,602","1,64,14,294","1,75,61,391","1,78,89,335","1,69,28,639","1,74,15,519","1,71,69,062","1,83,73,279","1,90,26,498","1,98,36,842","3,93,151","4,89,343","5,13,397","4,90,031","4,78,304","5,63,728","6,08,836","5,17,442","6,86,062","4,37,745","4,67,612","4,76,077","4,95,613","4,86,848","5,25,745","5,08,164","5,14,709","4,46,961","4,69,253","7,08,522","34,92,21,564",8517599.122
Cabrillo NM,"11,96,447",0,0,0,0,0,0,0,0,0,0,0,0,0,"51,848","66,089","63,465","64,651","67,836","56,983","58,610","1,91,506","1,81,018","1,73,687","1,67,247","1,75,581","1,80,814","1,60,450","2,19,576","1,60,185","1,71,451","1,76,344","1,68,336","1,92,570","1,75,852","1,83,045","2,09,166","2,38,018","3,07,143","3,08,962","4,32,818","57,99,698",141456.0488
Canaveral NS,"8,59,943","21,575","19,874","20,461","23,007","24,972","19,644","20,859","20,588","20,070","17,571","25,060","20,887","25,983","25,894","26,210","25,704","20,134","19,172","19,226","22,623","1,91,53,081","1,99,69,587","2,15,38,760","1,83,44,051","1,79,99,116","1,78,82,567","1,89,53,478","1,73,52,286","1,63,09,307","1,59,36,316","1,45,17,118","1,53,82,447","1,52,05,059","1,28,77,368","1,39,41,749","1,50,54,603","1,51,75,578","1,60,93,765","1,46,90,418","1,49,76,085","33,26,52,196",8113468.195
