Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,Average
George Washington MEM PKWY,"46,77,978","3,50,464","2,99,252","3,00,353","3,59,761","3,89,893","2,72,832","2,59,622","2,82,944","2,87,379","2,79,977","2,89,411","2,82,468","2,89,361","3,27,450","3,24,179","2,88,674","3,08,348","3,54,977","3,57,928","3,05,305","2,19,049","2,26,390","2,34,855","2,27,004","2,28,355","2,08,687","2,13,521","2,33,205","2,08,631","2,03,456","2,02,210","2,57,389","2,84,762","2,47,734","2,62,317","2,60,744","2,59,343","2,08,816","1,68,986","2,54,431","1,54,98,441",378010.7561
Gettysburg NMP,"9,94,035","35,922","51,633","63,725","73,306","78,035","76,193","82,923","74,496","68,280","76,753","76,294","74,495","84,695","77,946","73,050","49,559","48,406","48,423","50,328","42,250","2,44,162","2,90,705","2,41,876","2,43,286","2,52,793","3,63,948","3,16,611","2,64,586","2,48,093","2,96,117","2,94,484","2,93,041","2,62,235","2,17,580","2,28,103","2,02,191","1,92,906","1,88,089","1,83,591","2,12,330","73,37,474",178962.7805
Gila Cliff Dwellings NM,"31,933","1,02,361","1,36,786","1,29,012","1,18,692","1,21,561","1,38,410","1,60,019","1,29,293","1,29,873","87,516","85,233","75,748","1,01,090","1,16,926","1,03,800","96,054","75,056","62,392","41,846","35,880","47,298","44,376","50,074","50,455","53,638","46,455","40,651","40,263","48,297","56,923","57,128","52,916","55,199","54,057","49,038","51,616","57,444","61,513","52,414","42,892","30,92,128",75417.7561
Glacier Bay National Park & PRES,"91,032","64,975","60,696","66,595","63,154","56,352","67,100","57,857","45,338","52,659","51,271","53,007","57,172","59,621","54,785","50,193","56,139","48,429","82,552","46,007","51,228","40,001","35,581","39,920","35,317","37,127","31,551","31,512","30,471","21,483","27,443","29,423","26,704","33,194","27,432","24,607","32,170","31,060","29,188","29,173","26,958","18,56,477",45279.92683
Glacier National Park,"14,46,086","1,83,416","2,06,547","2,20,144","2,44,374","2,67,649","2,62,019","2,77,588","2,90,192","3,10,974","2,56,455","2,49,552","3,09,927","3,37,236","3,41,794","3,45,345","3,30,306","3,22,702","3,32,095","3,34,762","3,01,420","6,36,348","6,82,480","7,14,970","9,47,875","9,18,450","10,02,444","9,22,315","8,30,672","8,13,131","7,93,253","6,73,700","5,70,695","4,97,574","5,23,694","5,68,529","6,22,175","5,57,810","5,78,981","6,08,103","5,93,788","2,12,27,570",517745.6098
Glen Canyon NRA,"16,55,995","10,787","11,720","12,176","12,413","13,105","13,362","13,441","14,435","18,141","20,011","17,031","22,279","19,970","21,215","20,301","19,459","19,374","17,883","15,469","16,022","6,90,781","6,46,775","6,73,823","6,07,357","6,27,659","6,20,636","6,22,419","5,74,924","5,98,050","6,05,870","6,11,582","6,41,254","7,44,076","6,78,431","7,69,300","6,17,890","6,10,987","5,91,861","4,86,113","4,19,545","1,44,23,922",351802.9756
Golden Gate NRA,"1,13,21,127","8,520","9,139","7,381","9,917","12,886","15,031","22,663","40,080","26,608","61,327","32,222","29,870","28,895","27,479","24,534","20,406","23,448","20,988","19,723","20,612","93,860","89,133","89,407","95,957","1,05,688","1,02,004","2,23,111","3,53,296","1,27,672","1,97,271","2,64,450","1,93,479","1,87,893","1,65,159","2,19,546","2,80,705","2,90,021","2,94,145","2,80,970","3,12,104","1,57,48,727",384115.2927
Golden Spike NHP,"46,657","1,62,142","2,31,224","2,01,353","2,39,650","2,65,378","2,64,829","2,63,145","2,49,898","2,75,178","2,29,464","2,10,380","2,45,417","2,91,458","3,06,568","3,18,366","3,10,309","3,52,769","3,60,637","3,65,326","3,77,650","16,07,726","12,03,023","16,17,824","15,96,933","16,60,007","16,82,041","16,13,853","15,52,141","13,90,187","13,85,134","13,15,241","13,38,508","15,02,786","15,91,312","16,77,457","16,10,466","22,64,154","15,32,541","14,00,491","14,21,349","3,65,30,972",890999.3171
Grand Canyon National Park,"21,31,716","4,88,614","3,34,867","3,32,693","2,56,219","3,04,382","3,67,587","2,99,413","2,25,272","3,24,942","4,04,922","3,99,460","3,49,710","3,32,928","2,55,829","2,03,253","2,44,691","2,47,954","2,64,052","2,73,951","2,48,131","3,54,900","3,57,953","3,54,070","3,31,059","3,19,586","2,97,982","3,33,378","3,17,349","3,52,636","4,35,661","4,16,292","4,08,104","3,85,751","3,74,408","3,87,010","3,82,945","3,44,921","3,60,591","4,19,930","3,74,290","1,55,99,402",380473.2195
Grand Portage NM,"36,931","10,823","12,431","17,393","16,402","14,771","15,585","15,281","19,635","20,456","19,528","26,471","22,673","23,824","26,499","25,055","26,219","22,394","23,106","22,473","22,043","2,44,750","2,67,464","2,78,565","1,77,263","2,70,050","2,76,071","2,99,432","3,21,717","3,11,751","3,38,212","3,05,711","2,82,134","2,81,833","2,63,598","2,64,987","2,89,885","2,92,367","2,74,981","2,61,198","2,48,139","59,90,101",146100.0244
Grand Teton National Park,"24,46,171",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,25,858","42,58,807","34,53,171","36,479","40,673","38,439","29,650","28,973","25,798","24,269","22,314","25,322","28,544","27,635","26,219","25,034","25,773","25,966","25,531","29,291","28,948","26,482","24,068","1,26,49,415",308522.3171
Grant-Kohrs Ranch NHS,"21,325","38,974","35,322","30,943","30,347","29,507","30,881","33,379","34,629","37,778","43,127","50,094","45,460","54,912","49,268","50,035","53,279","82,326","33,922","31,081","35,319","53,628","84,974","74,906","73,676","78,444","74,400","77,014","83,850","75,174","63,540","68,678","86,122","87,386","69,584","88,790","1,11,469","1,63,636","1,41,914","1,36,568","1,25,500","26,71,161",65150.26829
Great Basin National Park,"29,947",0,"1,882","2,911","3,072","2,984","3,457","5,403","7,315","6,099","3,795","4,065","3,974","3,889","3,848","3,702","5,108","4,660","5,082","5,310","8,217","38,667","53,065","77,863","56,646","68,427","38,237","60,589","59,643","71,263","93,170","1,03,748","1,02,874","1,95,057","1,29,089","60,819","86,678","94,006","1,06,936","90,507","97,412","17,99,416",43888.19512
Great Sand Dunes National Park & PRES,"1,62,546","9,95,434","10,00,456","9,61,455","2,44,328","2,32,626","2,40,932","2,52,943","3,81,504","4,04,422","4,48,985","4,49,004","4,71,311","4,72,623","4,72,239","4,93,643","4,65,082","4,77,991","4,64,773","4,49,798","4,80,820","3,19,147","9,19,443","9,22,776","8,39,036","7,81,239","7,79,390","7,76,162","7,88,838","7,44,971","7,85,604","7,97,713","8,57,883","8,42,027","8,15,007","8,28,521","8,40,711","8,88,330","8,96,569","8,59,880","8,77,894","2,61,84,056",638635.5122
Great Smoky Mountains National Park,"80,19,788",0,0,0,"9,313","11,335","13,620","14,128","16,232","12,002","15,406","17,312","13,526","20,648","19,545","14,681","17,372","19,228","20,666","27,711","24,558","14,258","15,100","13,198","12,944","13,230","11,645","10,347","10,534","9,171","11,070","10,638","9,575","9,215","8,965","10,934","11,726","11,953","11,676","10,860","11,063","85,35,173",208174.9512
Greenbelt Park,"2,50,595",0,0,"1,381","2,138","2,440","1,381","2,801","1,060","1,258",822,"1,010","1,154","2,116","2,245","1,726","7,074","6,448","6,949","8,266","8,166","19,381","19,551","21,256","24,024","21,511","16,940","13,392","12,405","11,533","15,141","14,458","12,236","12,677","12,908","11,521","13,605","17,502","13,329","13,551","12,967","6,18,918",15095.56098
Guadalupe Mountains National Park,"1,10,478","19,28,825","22,82,261","29,67,323","29,48,022","17,09,993","21,40,316","23,11,147","23,64,694","24,77,458","25,18,712","23,82,612","26,22,425","24,15,514","25,39,740","25,53,696","32,34,977","36,49,308","34,20,076","34,20,352","34,81,042","3,76,688","4,04,662","3,87,394","5,10,383","6,82,415","8,01,198","6,90,307","6,82,645","8,94,417","10,17,326","7,86,989","7,10,439","6,81,404","7,33,540","8,03,740","8,18,672","10,92,031","10,81,489","10,98,553","10,18,214","6,87,51,477",1676865.293
Guilford Courthouse NMP,"1,61,485","90,53,257","93,76,479","98,69,135","1,03,47,510","78,81,106","86,40,734","89,02,610","93,53,718","62,15,162","67,48,181","57,90,221","66,43,921","61,61,637","58,98,453","41,92,280","60,64,254","63,81,502","68,07,945","71,24,022","68,13,607","2,58,667","2,67,032","2,87,233","2,64,566","2,53,486","3,06,802","3,15,390","3,24,660","4,84,202","3,39,370","3,52,883","4,09,381","3,68,824","4,43,918","4,66,078","3,37,433","5,60,358","3,17,470","3,16,052","4,23,868","15,55,24,892",3793290.049
Gulf Islands NS,"29,65,041",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,95,314","2,58,747","2,00,277","2,14,880","2,48,878","2,30,226","2,36,918","21,915","19,902","19,320","19,417","18,288","17,779","16,631","19,853","17,727","18,693","19,700","16,552","17,084","17,662","16,623","19,293","20,737","21,978","21,349","20,554","49,31,338",120276.5366
Haleakala National Park,"6,73,955","35,941","41,052","43,620","82,592","86,914","53,952","46,630","69,220","62,949","76,011","83,447","89,175","70,888","37,272","54,540","1,15,800","98,127","1,26,432","1,05,856","1,10,971","29,18,846","28,66,417","24,93,089","21,21,931","30,38,046","28,52,565","26,62,016","27,51,725","26,22,806","25,91,241","22,38,052","23,09,708","27,64,459","28,37,729","29,38,239","32,90,080","43,60,502","35,07,402","32,88,299","33,03,573","5,99,22,069",1461513.878
Hamilton Grange NMEM,371,"80,568","94,993","1,07,725","1,11,083","1,12,747","1,21,555","1,20,903","1,19,724","1,13,783","1,18,085","1,19,751","1,28,120","1,36,125","1,43,471","1,65,322","1,31,337","1,35,132","1,94,292","1,43,092","1,46,413","32,458","29,618","39,369","54,350","53,046","23,226","17,947","37,468","37,852","43,483","44,699","46,694","53,314","47,625","45,492","53,873","67,387","76,569","70,869","61,063","34,80,994",84902.29268
Hampton NHS,"33,332","1,14,147","1,33,291","1,31,001","1,36,708","1,51,733","1,50,515","1,63,358","1,75,420","1,52,098","1,50,381","1,54,083","1,52,301","1,57,960","1,55,529","1,27,822","1,55,281","79,261","97,788","1,02,262","1,27,449","6,499","10,332","7,938","6,906","6,814","2,775","1,559","2,010","2,969","5,007","3,285","4,022","8,668","6,570","8,667","9,473","8,935","11,388","9,854","7,791","29,33,182",71541.02439
Harpers Ferry NHP,"4,37,448","59,428","55,150","68,553","79,202","82,028","1,37,117","1,48,681","1,20,544","33,528","60,279","49,174","34,316","55,876","34,626","37,419","36,773","35,042","40,432","44,477","37,653","4,89,833","4,65,323","4,64,890","4,43,634","4,43,030","5,34,636","4,99,324","4,69,920","4,73,841","9,06,175","8,99,936","9,08,836","9,82,324","8,80,251","8,73,328","8,91,917","9,69,895","9,19,311","9,26,464","9,06,800","1,60,37,414",391156.439
Hawaii Volcanoes National Park,"16,32,589","62,66,121","85,55,905","92,16,441","85,69,579","82,46,006","87,80,684","90,97,082","95,64,781","95,37,694","30,48,161","53,29,182","50,04,736","57,31,850","54,91,037","56,19,821","65,46,803","61,26,490","58,44,294","65,84,802","69,46,945","29,913","33,791","32,854","34,876","30,018","29,188","25,636","32,576","30,623","31,454","32,562","30,039","34,289","34,372","34,317","34,687","37,847","39,377","41,678","34,159","14,24,05,259",3473299
Herbert Hoover NHS,"2,05,028","10,96,364","12,39,647","11,51,141","11,98,949","12,12,226","13,21,130","13,63,161","13,35,247","14,64,544","13,52,728","12,43,642","14,15,840","12,99,203","14,11,453","16,74,532","16,42,982","16,32,720","17,27,070","17,01,660","16,41,838","11,278","4,505","6,648","5,075","10,282","9,459","9,982","10,942","11,397","9,975","10,840","11,623","10,899","11,012","12,669","10,745","10,047","11,177","9,591","10,518","2,85,29,769",695848.0244
Home of Franklin D. Roosevelt NHS,"2,66,809","32,734","36,417","37,902","37,717","35,013","35,739","44,465","44,404","44,830","52,185","52,316","53,007","57,287","61,105","59,693","62,292","56,933","61,638","51,594","51,539","34,58,956","35,32,524","33,33,454","26,85,219","27,79,350","29,44,976","25,72,072","23,85,387","19,54,810","23,60,109","24,36,110","22,59,020","24,96,726","23,77,258","18,17,091","16,98,656","12,71,855","13,98,188","20,16,180","20,55,309","4,90,68,869",1196801.683
Homestead NM of America,"18,084","95,005","85,071","90,354","92,057","1,08,297","1,30,943","1,36,877","1,30,926","1,48,756","1,50,270","1,86,427","2,03,653","2,11,424","2,42,276","2,50,614","2,52,265","3,04,374","3,47,046","4,03,512","4,42,607","79,27,567","82,85,059","90,14,438","85,67,769","82,28,573","82,94,353","84,56,456","88,13,204","94,31,021","90,10,522","88,20,757","76,97,727","50,43,863","61,91,246","60,21,713","63,92,565","86,51,770","91,90,610","92,43,305","94,05,622","16,67,18,978",4066316.537
Hopewell Culture NHP,"51,514","14,74,578","17,86,523","16,66,114","22,03,847","19,46,703","16,03,011","15,79,151","16,60,737","18,17,733","18,21,523","19,86,737","20,96,966","21,99,767","21,41,704","21,52,989","18,39,518","17,20,805","17,08,856","18,30,944","16,84,604","2,53,375","2,36,192","1,88,613","1,48,793","1,55,183","1,28,796","1,16,854","1,18,169","1,12,262","1,13,185","1,07,223","1,09,780","1,15,283","1,35,309","1,17,354","1,05,374","1,15,888","1,18,733","97,778","1,19,282","3,96,87,750",967993.9024
Hopewell Furnace NHS,"1,33,450","15,71,491","17,33,529","17,33,226","18,73,031","19,71,102","20,78,866","24,38,898","28,58,739","35,29,241","34,52,847","30,74,242","31,81,144","35,87,754","35,84,158","27,97,734","25,11,353","25,05,004","24,30,781","24,42,990","26,39,860","1,11,299","85,107","79,548","68,057","83,010","80,046","1,05,657","84,171","91,436","1,00,874","1,19,665","1,04,769","92,418","83,440","1,00,622","95,526","1,09,151","97,005","73,336","1,13,852","5,40,08,429",1317278.756
Horseshoe Bend NMP,"50,566","1,84,21,773","2,02,79,789","1,98,97,389","1,76,04,551","1,67,31,706","1,83,55,365","2,15,82,368","2,17,67,176","2,17,59,271","1,66,56,896","1,46,50,213","1,46,95,771","1,53,09,338","1,46,95,771","1,46,95,771","1,46,95,771","1,40,43,984","1,38,03,382","1,40,46,590","1,40,48,085","1,34,241","1,29,161","1,28,207","1,24,429","1,33,528","1,28,134","1,28,579","1,14,560","1,13,688","1,03,284","1,18,912","1,45,596","1,25,972","1,28,531","1,25,218","1,35,856","1,26,095","1,17,268","1,21,187","1,40,130","34,03,14,102",8300343.951
Hot Springs National Park,"11,18,800","44,587","48,167","45,163","49,571","34,093","46,387","57,647","44,288","41,417","45,769","48,781","57,159","51,281","51,212","63,338","50,331","60,484","50,989","46,203","47,525","1,41,453","1,41,907","1,38,084","79,541","74,525","59,089","1,35,870","1,01,844","99,975","1,13,083","1,28,158","1,30,647","1,34,824","1,31,683","1,31,984","1,30,952","1,29,750","1,22,457","1,11,058","1,39,666","44,79,742",109262
Hovenweep NM,"14,815","23,04,973","24,72,270","22,93,127","22,48,082","21,73,584","27,11,529","30,35,787","35,13,030","38,59,886","39,66,209","37,76,685","38,86,031","42,03,545","45,75,602","43,64,316","45,57,645","45,37,703","47,91,668","42,39,682","45,75,124","52,517","41,464","42,417","41,024","38,824","45,574","37,167","36,480","40,407","38,899","35,068","30,787","30,425","33,061","41,535","37,745","46,397","46,466","44,411","49,553","7,29,11,514",1778329.61
Hubbell Trading Post NHS,"36,344","43,229","41,404","36,068","36,261","45,669","46,488","46,782","47,251","74,372","75,673","72,250","67,597","54,292","61,372","70,016","75,810","71,746","69,752","75,227","74,744","78,97,161","76,64,091","74,19,375","60,43,508","72,27,909","72,84,165","68,72,213","68,37,139","70,09,630","69,38,309","69,25,099","74,17,397","74,25,577","73,60,392","74,72,150","72,86,463","1,03,23,339","75,62,793","72,88,623","74,87,265","14,89,64,945",3633291.341
Independence NHP,"20,02,333","25,55,627","26,43,644","25,34,029","15,32,035","13,60,898","13,34,483","13,06,322","14,50,791","12,32,691","13,31,659","15,88,253","16,25,752","17,44,636","25,68,689","25,40,699","27,31,015","27,33,439","26,58,762","27,57,060","26,80,025","15,42,184","17,92,380","18,33,033","17,69,688","17,24,420","17,05,601","16,66,365","16,47,745","14,55,951","10,13,002","10,31,554","11,24,659","11,26,577","12,13,349","10,20,702","10,80,185","10,91,320","10,38,649","9,49,989","9,25,117","6,96,65,312",1699153.951
Indiana Dunes National Park,"16,06,166","19,449","23,559","27,790","34,292","23,766","23,166","27,029","25,407","22,886","23,415","26,753","26,927","27,853","26,987","26,056","29,395","29,175","28,460","25,374","23,502","46,194","49,447","45,585","47,869","45,349","40,058","40,510","41,690","38,987","43,016","32,652","25,317","28,637","27,825","31,135","36,518","41,519","78,872","79,108","66,614","30,14,309",73519.73171
Isle Royale National Park,"14,782","33,383","33,367","32,264","30,335","37,676","36,343","40,359","63,532","73,559","70,259","65,026","63,864","69,144","91,915","88,024","87,829","86,635","90,760","80,363","90,119","3,84,684","3,80,114","4,08,143","3,66,319","3,53,686","3,59,829","4,13,382","4,38,211","4,18,911","4,38,361","4,44,530","4,31,986","4,54,337","5,00,590","5,00,727","5,51,353","5,20,171","5,47,057","5,97,915","6,72,087","1,04,61,931",255169.0488
Jean Lafitte NHP & PRES,"1,93,121","1,42,427","1,72,505","1,75,273","1,50,177","1,41,833","1,82,713","2,21,449","2,25,937","2,74,286","2,66,321","2,72,136","2,95,070","2,90,654","2,94,282","3,12,225","3,23,663","3,09,283","3,09,855","2,79,768","2,86,745","17,28,693","16,80,614","19,05,689","16,64,046","20,33,933","19,25,101","19,64,399","20,83,329","18,08,027","20,31,348","22,00,048","18,53,564","21,62,035","21,90,374","23,38,528","23,66,056","29,46,681","33,05,512","29,65,309","30,49,839","4,93,22,848",1202996.293
Jewel Cave NM,"76,921","84,40,953","83,12,884","81,77,869","84,35,475","85,08,390","93,19,290","98,36,306","1,02,09,841","87,70,781","83,33,553","81,51,769","86,54,459","89,31,690","92,83,848","86,28,174","90,80,420","92,65,667","99,65,075","99,89,395","1,02,83,598","25,68,111","23,40,031","21,06,896","18,76,984","18,41,845","19,08,726","18,85,378","18,94,114","19,47,507","19,60,345","21,24,467","22,70,817","20,61,328","19,91,924","23,68,452","24,95,093","32,39,525","45,74,940","42,19,441","43,30,563","23,06,62,845",5625923.049
"John D. Rockefeller, Jr. MEM PKWY","13,56,044","2,83,365","2,31,632","2,77,869","2,17,141","2,61,142","3,32,849","3,11,053","3,25,231","3,01,410","2,77,387","3,01,184","2,49,163","2,61,340","3,14,986","3,77,531","3,33,010","3,22,800","4,20,875","1,47,634","1,10,994","1,44,86,065","1,34,57,900","1,39,61,267","1,38,54,750","1,32,70,547","1,36,02,629","1,34,86,824","1,43,97,313","1,45,54,750","1,50,36,372","1,42,71,503","1,45,67,487","1,45,40,338","1,42,89,121","1,50,04,420","1,48,88,537","1,56,38,777","1,49,81,897","1,52,23,697","1,50,02,227","29,55,31,061",7208074.659
John Day Fossil Beds NM,"90,547","1,13,825","1,42,641","1,40,620","1,42,736","1,51,862","1,47,758","1,63,313","1,56,344","1,78,910","1,68,872","1,92,890","2,00,398","1,75,120","2,01,054","2,03,520","2,08,972","2,23,485","2,31,980","2,27,924","2,19,591","45,273","43,887","47,242","45,230","46,189","40,156","45,381","45,088","39,968","45,334","43,561","43,933","42,551","40,704","44,125","59,147","60,027","67,811","60,130","1,08,154","46,96,253",114542.7561
John F. Kennedy NHS,"19,308","1,56,754","2,20,944","2,19,540","1,61,504","2,04,413","1,79,278","1,71,010","1,49,971","1,70,880","1,32,553","1,89,013","1,99,587","2,03,723","1,88,272","2,12,986","2,30,513","6,14,766","6,63,904","7,53,943","7,40,024",0,0,0,"2,507","11,312","11,559","43,135","69,014","2,05,010","3,25,840","4,09,207","4,02,174","3,48,249","3,55,553","6,98,227","4,38,613","5,22,859","6,25,653","5,89,798","5,90,993","1,14,32,589",278843.6341
John Muir NHS,"24,911","25,07,507","33,16,477","35,07,438","40,60,386","58,03,384","98,80,814","76,46,201","48,26,892","51,97,899","44,58,368","48,73,730","49,87,978","54,27,729","54,56,294","50,69,495","45,20,356","25,81,037","46,97,014","42,93,301","45,97,270","44,60,228","41,04,809","40,01,974","41,24,900","43,26,234","44,01,522","42,79,439","44,13,668","44,25,314","43,48,068","43,88,386","42,98,178","44,21,352","45,64,840","47,56,771","55,20,736","59,69,811","62,54,238","63,80,495","59,74,411","19,31,49,855",4710972.073
Johnstown Flood NMEM,"42,201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,808","11,793","11,861","13,267","13,070","92,914","81,428","69,486","63,289","62,815","62,842","53,443","68,856","77,323","76,025","1,13,996","97,440","93,156","88,598","88,877","91,751","95,862","96,051","94,137","94,985","17,68,274",43128.63415
Joshua Tree National Park,"5,90,543","5,60,238","6,31,684","7,71,762","8,64,289","10,03,821","11,94,651","12,81,219","13,33,900","13,14,683","13,67,761","12,60,601","12,28,332","11,83,124","13,17,433","15,27,329","15,94,596","15,53,344","16,73,561","14,76,842","19,63,187","25,90,624","25,35,108","26,12,629","23,55,693","23,60,373","24,63,442","24,06,476","25,88,574","24,85,987","25,80,081","26,69,374","25,87,437","27,05,256","26,88,794","27,91,392","31,49,921","32,70,076","33,17,000","34,91,151","34,05,614","8,07,47,902",1969461.024
Katmai National Park & PRES,"10,659",0,0,0,"2,653","9,163","18,956","41,623","46,281","45,307","37,347","27,182","40,549","13,916",0,0,0,0,0,"33,406","43,887","20,864","20,188","20,273","18,521","20,399","17,553","19,795","17,494","16,633","20,099","22,075","20,293","17,095","18,848","20,565","22,139","23,176","24,072","26,676","25,043","7,82,730",19090.97561
Kennesaw Mountain NBP,"8,76,352","60,700","49,729","80,111","83,064","82,742","69,970","45,118","26,921","25,434","31,451","29,149","30,101","24,766","30,588","29,459","30,771","30,218","30,234","28,892","20,509","81,045","81,712","85,777","87,020","79,879","77,741","78,524","81,364","69,235","84,974","88,870","91,451","94,850","92,893","1,07,526","1,16,123","1,44,846","1,68,028","1,53,094","1,31,802","37,13,033",90561.78049
Kings Canyon National Park,"8,04,175","5,49,997","5,89,288","6,82,386","6,00,823","6,73,944","5,66,661","9,07,747","9,16,361","6,97,230","6,24,168","5,42,619","4,89,919","4,49,341","4,26,481","3,94,322","3,86,247","3,14,548","3,40,246","3,71,094","3,33,738","2,60,789","2,77,523","2,34,776","2,51,375","2,67,204","2,79,589","2,58,660","2,85,121","2,73,903","2,89,955","2,83,284","2,80,058","2,54,674","2,42,841","2,71,774","2,99,513","3,88,308","4,86,935","4,42,905","5,27,546","1,78,18,068",434587.0244
Kings Mountain NMP,"2,12,876",0,0,0,0,"1,00,165","1,14,686","1,14,102","1,01,685","1,25,700","1,15,568","1,20,057","1,15,240","1,15,585","69,311","62,854","66,814","65,463","62,039","53,792","48,847","1,01,75,812","91,97,697","93,16,420","93,66,845","91,67,046","91,92,477","92,89,215","93,72,253","90,44,010","94,91,437","94,63,538","90,08,830","96,85,829","93,54,695","1,00,99,276","1,07,12,674","1,13,12,786","1,13,38,893","1,14,21,200","1,25,47,743","20,02,23,460",4883499.024
Klondike Gold Rush NHP Seattle,"37,595","16,92,338","19,31,852","19,95,397","22,47,974","20,08,608","8,16,652","8,98,023","10,06,058","9,83,007","10,56,188","10,96,816","12,38,653","11,51,661","11,43,741","11,74,289","11,75,028","12,31,557","18,32,087","13,52,373","15,02,855","1,69,511","1,92,154","1,44,289","3,67,427","2,00,000","2,00,629","1,95,038","1,98,237","1,64,103","1,88,043","2,70,661","1,90,427","1,45,552","1,42,742","1,32,688","1,35,260","1,37,900","1,41,856","85,260","1,28,702","3,11,03,231",758615.3902
Lake Mead NRA,"61,55,100","2,12,702","2,56,910","2,54,334","2,42,562","2,26,429","2,07,845","2,23,940","2,18,664","3,10,220","2,99,831","3,08,311","2,98,135","3,05,617","2,23,268","2,49,833","2,41,959","2,41,757","2,10,736","2,31,932","1,99,350","1,98,762","2,22,307","2,02,911","1,81,357","1,82,351","1,70,383","1,74,157","1,65,110","1,63,709","1,98,882","1,92,210","1,52,546","1,59,360","1,45,670","1,66,868","1,69,535","1,81,839","2,25,257","1,72,347","1,88,833","1,47,33,829",359361.6829
Lake Meredith NRA,"18,49,425","3,16,535","2,72,129","2,68,269","2,12,494","2,05,405","2,14,011","2,04,098","1,90,582","1,76,015","1,81,073","1,69,468","1,65,769","1,69,339","1,79,892","1,70,912","1,69,320","1,93,170","1,80,103","1,63,398","1,35,701","8,22,948","8,58,125","7,62,412","5,30,756","2,77,484","4,97,193","4,86,162","4,45,752","3,54,077","2,90,368","2,85,444","3,46,617","3,13,374","5,41,581","1,73,261","2,22,602","3,21,796","3,48,991","2,36,016","2,23,900","1,41,25,967",344535.7805
Lake Roosevelt NRA,"7,94,710","16,278","16,421","18,971","22,608","21,849","21,268","38,276","42,671","34,838","37,393","38,101","40,356","42,989","46,537","30,986","32,626","36,384","29,477","38,910","41,510","45,90,595","45,49,900","45,61,862","49,39,771","42,41,477","16,89,400","19,86,816","20,34,294","20,54,201","41,32,674","42,83,747","55,01,872","49,73,462","48,37,965","44,55,240","39,76,883","47,71,309","39,52,941","42,29,968","56,00,240","8,28,07,776",2019701.854
Lassen Volcanic National Park,"3,80,014","57,151","59,737","43,606","43,013","42,420","39,632","43,854","46,750","44,592","42,422","38,509","42,322","41,402","33,832","37,042","38,836","37,005","35,075","35,599","29,282","13,609","12,311","13,365","15,921","21,801","23,544","25,875","24,779","23,163","27,263","29,795","21,100","23,936","21,008","22,482","24,695","25,982","31,122","26,477","23,768","16,64,091",40587.58537
Lava Beds NM,"96,565","1,63,074","1,43,430","1,50,975","1,62,159","1,49,820","1,54,027","1,38,638","1,28,870","1,30,420","1,03,195","99,216","1,07,238","1,14,510","1,09,219","94,416","87,965","91,412","85,936","86,546","74,303","16,20,083","14,10,974","15,21,080","14,44,668","14,55,477","14,74,681","14,26,068","13,22,817","11,85,068","11,09,104","11,05,606","9,56,989","10,94,668","7,85,300","11,42,040","12,16,772","12,63,558","11,12,390","10,44,084","9,94,394","2,71,57,755",662384.2683
Lewis & Clark NHP,"93,453","44,323","78,388","57,539","62,514","62,374","62,549","61,203","47,688","65,467","1,00,863","98,606","58,475","79,995","91,895","1,12,862","1,06,442","95,851","97,087","1,14,721","1,11,854","41,283","22,971","13,435","13,378","12,902","15,287","6,369",0,690,150,0,"7,817","16,358","20,429","20,943","35,446","85,348","85,603","66,216","71,247","22,40,021",54634.65854
Lincoln Boyhood NMEM,"2,37,793","11,60,588","11,77,911","10,15,580","11,60,008","10,71,853","11,12,764","11,75,170","11,01,242","11,85,772","12,72,771","11,23,175","12,03,929","15,04,013","14,77,299","16,18,847","16,17,077","15,38,105","15,09,596","14,95,993","13,84,469","23,401","24,096","28,226","27,526","28,182","24,407","29,297","30,062","35,260","39,334","32,153","32,165","37,529","32,262","32,498","34,685","34,942","32,327","29,615","28,234","2,67,60,156",652686.7317
Lincoln Home NHS,"4,03,236","13,591","13,628","13,532","13,837","14,322","14,601","15,583","18,579","22,134","26,798","27,260","26,858","27,149","25,633","24,767","27,020","27,526","24,465","23,699","47,593","3,17,699","3,25,156","2,86,289","2,64,478","2,60,783","2,41,807","2,67,501","2,49,908","2,54,162","2,75,044","2,68,822","2,55,348","2,63,105","2,55,714","2,61,202","2,82,893","3,35,691","3,42,535","2,65,737","2,99,577","64,25,262",156713.7073
Lincoln Memorial,"33,52,343","1,06,358","1,64,551","1,61,461","1,47,318","1,44,755","1,20,473","1,38,811","1,32,047","1,48,412","1,72,873","1,80,923","2,08,354","2,32,513","2,51,190","2,37,013","2,38,338","2,53,123","2,64,952","2,71,353","2,02,572","44,182","45,112","44,472","41,757","36,953","37,968","34,479","31,092","30,848","28,384","27,670","28,924","31,316","28,977","29,364","32,825","34,616","45,435","32,878","30,746","78,27,731",190920.2683
